season,team,team_name,batted_balls,home_runs,launch_angle,barrel_rate,exit_velocity,hard_hit_pct,flyball_pct,groundball_pct,hr_per_flyball,avg_hr_distance
2022,LAD,Dodgers,4208,212,15.8,9.2,89.5,41.9,31.6,37.5,15.9,399
2022,MIA,Marlins,4006,144,10.9,7.1,88.2,37.2,25.5,44.9,14.1,399
2022,MIL,Brewers,4001,219,13.5,8.7,89,39.8,27.9,42.6,19.6,401
2022,MIN,Twins,4179,178,13.1,8.8,89.6,41.1,27.5,42.2,15.5,401
2022,NYM,Mets,4336,171,11.9,7.1,88.2,37.1,24.6,44.9,16,399
2022,NYY,Yankees,4086,254,13.3,10.1,89.7,41.9,27.4,41.9,22.7,397
2022,OAK,Athletics,3980,137,11.7,6.4,87.7,34.2,24.4,45.7,14.1,398
2022,PHI,Phillies,4183,205,13,8.6,89.3,41.1,25.7,43.5,19.1,396
2022,PIT,Pirates,3885,158,11.6,6.6,88.3,37.3,25.1,45.1,16.2,397
2022,SD,Padres,4204,153,13.2,6.5,88.4,37.7,25.5,43.5,14.3,398
2022,SEA,Mariners,4032,197,15,8.1,88.2,36.7,27.7,40.8,17.7,397
2022,SF,Giants,3989,183,15.3,8.2,88.2,37.7,28.4,41.1,16.1,397
2022,STL,Cardinals,4320,197,14.3,7.5,88.2,37.4,26.3,41.8,17.3,398
2022,TB,Rays,4055,139,11.4,6.1,88.9,38.7,23,44.7,14.9,392
2022,TEX,Rangers,4080,198,14,7.9,89.1,39.3,27.1,41.7,17.9,399
2022,TOR,Blue Jays,4354,200,11.2,8.5,90.2,44.3,23,46,20,398
2022,WSH,Nationals,4270,136,10.3,5.9,87.5,35.4,22.1,47.1,14.4,399
2023,ARI,D-backs,4275,166,10.8,6.3,88.9,38.2,24.5,45.8,15.8,400
2023,ATL,Braves,4353,307,12.1,11.9,91,46,27,43.2,26.1,408
2023,BAL,Orioles,4193,183,13.4,8,89.4,40.8,26.7,42.9,16.3,397
2023,BOS,Red Sox,4236,182,12.3,7.5,89.1,40.2,26,42.9,16.5,396
2023,CHC,Cubs,4180,196,12.4,7.7,88.7,38.4,24.9,43.4,18.9,400
2023,CIN,Reds,4047,198,13.8,7,88.2,36.5,26.3,42.6,18.6,397
2023,CLE,Guardians,4428,124,11.7,5.2,87.5,33,22.7,45,12.4,397
2023,COL,Rockies,4005,163,12.8,7.7,88,36.5,26,42.8,15.6,412
2023,CWS,White Sox,4122,171,10.7,7.2,88.6,37.7,22.9,46.3,18.1,399
2023,DET,Tigers,4049,165,13.3,8,89.1,40.6,27,42.7,15.1,397
2023,HOU,Astros,4380,222,13.2,8.2,88.7,38.8,27.5,42.4,18.4,395
2023,KC,Royals,4104,163,13.4,8.1,89.4,41.1,26.9,40.9,14.8,405
2023,LAA,Angels,4019,231,13.6,9.1,89.3,40.4,28.1,42,20.5,403
2023,LAD,Dodgers,4239,249,15.5,9.2,89.2,40.7,30.2,38.6,19.4,397
2023,MIA,Marlins,4270,166,10.2,7.2,88.9,38,23.5,46.7,16.6,402
2023,MIL,Brewers,4020,165,11.7,7.4,88.3,37.8,25.3,45.3,16.2,398
2023,MIN,Twins,3879,233,14.5,10.3,89.4,41.4,27.9,40.4,21.5,403
2023,NYM,Mets,4089,215,13.3,8.3,89.4,40.1,26.9,42.6,19.5,402
2023,NYY,Yankees,3941,219,13,9.3,89.8,41.8,27,42.9,20.5,395
2023,OAK,Athletics,3879,171,12.9,7.3,88.2,35.2,26.4,44.3,16.7,400
2023,PHI,Phillies,4115,220,13.2,8.7,89.5,40.7,26.6,42.3,20.1,401
2023,PIT,Pirates,4010,159,11.9,7.4,89.2,40.4,24.9,44,15.9,402
2023,SD,Padres,4156,205,13.2,8.5,89.3,39.4,26.2,43.2,18.8,401
2023,SEA,Mariners,3938,210,15,9.7,89.3,41.3,27.9,40,19.1,397
2023,SF,Giants,3976,174,13.8,8.4,88.7,39.1,27,42.6,16.2,398
2023,STL,Cardinals,4234,209,13,8.4,89.4,41.6,25.8,43.7,19.2,401
2023,TB,Rays,4135,230,12.4,8.3,89.4,40.8,25.4,44.4,21.9,398
2023,TEX,Rangers,4236,233,14.3,9.1,89.8,41.6,28.4,40.1,19.3,403
2023,TOR,Blue Jays,4295,188,13,8.2,88.7,38.9,26,42.2,16.8,395
2023,WSH,Nationals,4431,151,11.3,5.8,87.9,35.3,23.1,45.4,14.8,396
2024,ARI,D-backs,4357,211,12.8,8,89.1,39.1,25.3,44.3,19.1,401
2024,ATL,Braves,4068,213,13.8,10.1,89.9,42.6,27.6,41.6,19,405
2024,BAL,Orioles,4259,235,14.5,9,89.7,42.4,27.8,40.8,19.8,398
2024,BOS,Red Sox,4054,194,13.2,9,89.1,41,26.8,42.1,17.9,398
2024,CHC,Cubs,4137,170,14.5,7.8,88.7,38.3,28.3,41.3,14.5,399
2024,CIN,Reds,3927,174,14,7,87.8,35.9,26.8,42.2,16.6,394
2024,CLE,Guardians,4174,185,14.4,5.8,87.7,33.8,26.5,41.9,16.7,390
2024,COL,Rockies,3901,179,12.8,8.3,88.6,39.5,27.1,43.4,16.9,407
2024,CWS,White Sox,4025,133,13.1,6.1,88,35.3,25.6,42.9,12.9,394
2024,DET,Tigers,4026,162,14.5,7.6,88.6,38,27.4,41.1,14.7,392
2024,HOU,Astros,4412,190,13.5,7.6,88.9,39,27.1,42.8,15.9,393
2024,KC,Royals,4337,170,13.8,7.4,89.5,40.5,27.4,42.2,14.3,403
2024,LAA,Angels,3988,165,13,7.1,88.2,36.4,26.6,42.9,15.6,399
2024,LAD,Dodgers,4247,233,15.5,9.2,89.4,41.3,29.1,38.9,18.9,398
2024,MIA,Marlins,4177,150,9.7,7.1,88.2,36.8,23,49.3,15.6,400
2024,MIL,Brewers,4062,177,11.5,7.2,88.6,38.6,24.9,45.5,17.5,400
2024,MIN,Twins,4241,183,15,7.7,88.8,38.3,28.4,39.4,15.2,397
2024,NYM,Mets,4174,207,12.9,8.9,89.3,41.3,25.9,42.6,19.2,401
2024,NYY,Yankees,4195,237,12.7,10.6,90.1,42.4,26.7,43.3,21.2,398
2024,OAK,Athletics,3986,196,13.8,8.6,89.2,39.2,27.5,42.4,17.9,402
2024,PHI,Phillies,4217,198,12.8,7.8,89.1,40.2,26.6,43.3,17.6,398
2024,PIT,Pirates,4034,160,11.7,8.3,89.1,40.1,24,45.5,16.5,402
2024,SD,Padres,4508,190,13.2,7.1,89.1,38.6,25.5,42.9,16.6,394
2024,SEA,Mariners,3753,185,15.4,9,89.2,40.5,28.7,40.4,17.2,397
2024,SF,Giants,4065,177,14.3,8.7,89.3,39.7,27.3,41.1,16,401
2024,STL,Cardinals,4253,165,13.1,6.8,88.7,38.2,24.5,43.3,15.8,397
2024,TB,Rays,3946,147,13.2,7.4,87.9,36.6,24.5,42.9,15.2,394
2024,TEX,Rangers,4224,176,13.9,7.4,88.6,38.9,27.8,42.4,15,391
2024,TOR,Blue Jays,4236,156,13.4,7.3,88.1,37,25.4,41.9,14.5,395
2024,WSH,Nationals,4220,135,10.7,5.6,88.1,36.8,23.3,47.3,13.7,398
2025,ARI,D-backs,4265,214,13.5,9,89.3,41.1,27.9,42.2,18,402
2025,ATL,Braves,4188,190,13.4,9,89.7,41.7,26.6,42.7,17,405
2025,BAL,Orioles,4004,191,13.3,9.2,89.6,42.2,27.2,43.3,17.5,396
2025,BOS,Red Sox,4197,186,12.6,9.2,90.3,44.8,26.5,44.1,16.7,393
